ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.1,-0.01,5,-0.2,5.8,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.4,-0.91,22.3,-0.97,24.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.1,-0.82,19.1,-0.82,19.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-0.95,24.1,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.2,-1.14,32.4,-1.01,26.5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-1.39,45.1,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.9,-0.28,6.6,-0.43,8.8,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.6,-0.35,7.6,-0.35,7.5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.8,-0.75,16.8,-0.7,15.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.5,-0.47,9.6,-0.52,10.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,30.5,0.61,12.8,0.4,8.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.8,-0.72,15.8,-0.66,14,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.5,-0.39,8.2,-0.4,8.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,27.4,0.22,6,0.04,5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,-1.02,27.1,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.6,-0.24,6.1,-0.41,8.5,14.5
